ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
11:11:38,7325,32821,4,3516,4015,gradle#18952:ws726/pv799|gradle#47752:ws99/pv197|gradle#47240:ws531/pv602|client#9204:ws2160/pv2417
11:11:49,7245,33037,4,3684,4198,gradle#18952:ws726/pv799|gradle#47752:ws99/pv197|gradle#47240:ws536/pv606|client#9204:ws2323/pv2596
11:11:59,6709,33572,4,4247,4756,gradle#18952:ws726/pv799|gradle#47752:ws99/pv197|gradle#47240:ws536/pv606|client#9204:ws2886/pv3154
11:12:10,5922,34323,4,5024,5525,gradle#18952:ws726/pv799|gradle#47752:ws102/pv199|gradle#47240:ws536/pv606|client#9204:ws3660/pv3921
11:12:20,5813,35340,4,5141,6524,gradle#18952:ws726/pv799|gradle#47752:ws99/pv197|gradle#47240:ws546/pv616|client#9204:ws3770/pv4912
11:12:31,5674,36315,4,5235,8031,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws3877/pv6432
11:12:41,5638,37158,4,5251,8332,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws531/pv601|client#9204:ws3894/pv6734
11:12:52,5597,37252,4,5325,8429,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws531/pv602|client#9204:ws3968/pv6830
11:13:02,5592,37261,4,5326,8423,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws3968/pv6824
11:13:13,5591,37229,4,5340,8421,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws3982/pv6822
11:13:23,5601,37222,4,5342,8433,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws3984/pv6834
11:13:34,5586,37241,4,5341,8411,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws3983/pv6812
11:13:44,5554,37288,4,5341,8430,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws3983/pv6831
11:13:55,5546,37300,4,5341,8430,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws3983/pv6831
11:14:05,5561,37324,4,5342,8430,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws3984/pv6831
11:14:16,5546,37377,4,5340,8519,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws3982/pv6920
11:14:26,5582,37329,4,5340,8523,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv603|client#9204:ws3982/pv6923
11:14:37,5644,37071,4,5305,8259,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws533/pv603|client#9204:ws3946/pv6659
11:14:47,5619,37127,4,5302,8271,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws533/pv603|client#9204:ws3943/pv6671
