ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
17:44:30.428,2340,8001,56,100,3,45.08,P0,0x0000000000000000
17:44:31.548,2340,8001,55,77,2,43.15,P0,0x0000000000000000
17:44:32.698,2340,8001,56,100,3,39.54,P0,0x0000000000000000
17:44:33.891,2340,8001,54,95,2,35.26,P0,0x0000000000000000
17:44:35.074,2340,8001,56,100,3,37.46,P0,0x0000000000000000
17:44:36.210,2340,8001,54,91,3,34.37,P0,0x0000000000000000
17:44:37.371,2340,8001,55,100,3,38.91,P0,0x0000000000000000
17:44:38.506,2340,8001,54,90,2,35.56,P0,0x0000000000000000
17:44:39.617,2340,8001,55,100,3,39.42,P0,0x0000000000000000
17:44:40.758,2340,8001,54,93,2,34.12,P0,0x0000000000000000
17:44:42.001,2340,8001,55,100,3,38.32,P0,0x0000000000000000
17:44:43.212,2340,8001,55,94,3,33.13,P0,0x0000000000000000
17:44:44.350,2340,8001,55,100,3,39.28,P0,0x0000000000000000
17:44:45.476,2340,8001,54,82,2,35.24,P0,0x0000000000000000
17:44:46.589,2340,8001,55,100,3,36.36,P0,0x0000000000000000
17:44:47.700,2340,8001,54,96,2,34.72,P0,0x0000000000000000
17:44:48.830,2340,8001,55,100,3,38.69,P0,0x0000000000000000
17:44:49.973,2340,8001,54,87,2,36.04,P0,0x0000000000000000
17:44:51.121,2340,8001,55,100,3,39.38,P0,0x0000000000000000
17:44:52.227,2340,8001,54,95,2,34.10,P0,0x0000000000000000
17:44:53.354,2340,8001,55,100,3,38.35,P0,0x0000000000000000
17:44:54.499,2340,8001,53,96,2,36.53,P0,0x0000000000000000
17:44:55.611,2340,8001,55,100,3,39.90,P0,0x0000000000000000
17:44:56.979,2340,8001,53,85,2,32.51,P0,0x0000000000000000
17:44:58.141,2340,8001,55,100,3,39.52,P0,0x0000000000000000
17:44:59.250,2340,8001,53,97,3,34.04,P0,0x0000000000000000
17:45:00.357,2340,8001,54,100,3,39.29,P0,0x0000000000000000
17:45:01.470,2340,8001,53,92,2,35.58,P0,0x0000000000000000
17:45:02.586,2340,8001,54,100,3,36.99,P0,0x0000000000000000
17:45:03.726,2340,8001,53,91,2,33.40,P0,0x0000000000000000
17:45:04.836,2340,8001,54,100,3,39.30,P0,0x0000000000000000
17:45:05.951,2340,8001,53,96,2,32.54,P0,0x0000000000000000
17:45:07.076,2340,8001,54,100,3,39.57,P0,0x0000000000000000
17:45:08.187,2340,8001,52,92,2,31.89,P0,0x0000000000000000
17:45:09.295,2340,8001,54,100,3,36.01,P0,0x0000000000000000
17:45:10.402,2340,8001,53,97,2,37.46,P0,0x0000000000000000
17:45:11.547,2340,8001,54,100,3,34.66,P0,0x0000000000000000
17:45:12.701,2340,8001,54,100,3,38.83,P0,0x0000000000000000
17:45:13.809,2340,8001,53,97,2,35.69,P0,0x0000000000000000
17:45:14.926,2340,8001,54,100,3,39.09,P0,0x0000000000000000
17:45:16.030,2340,8001,53,100,3,39.28,P0,0x0000000000000000
17:45:17.139,2340,8001,54,100,3,39.60,P0,0x0000000000000000
17:45:18.249,2340,8001,53,92,2,32.42,P0,0x0000000000000000
17:45:19.364,2340,8001,54,100,5,47.25,P0,0x0000000000000000
17:45:20.473,2340,8001,52,93,2,32.30,P0,0x0000000000000000
17:45:21.584,2340,8001,53,92,2,31.45,P0,0x0000000000000000
17:45:22.705,2340,8001,52,97,2,32.41,P0,0x0000000000000000
17:45:23.838,2340,8001,54,100,5,46.99,P0,0x0000000000000000
17:45:24.975,2340,8001,52,93,2,32.23,P0,0x0000000000000000
17:45:26.083,2340,8001,52,97,2,32.83,P0,0x0000000000000000
17:45:27.209,2340,8001,52,93,2,31.96,P0,0x0000000000000000
17:45:28.338,2340,8001,55,100,3,37.62,P0,0x0000000000000000
17:45:29.448,2340,8001,53,96,4,34.50,P0,0x0000000000000000
17:45:30.574,2340,8001,53,100,3,37.12,P0,0x0000000000000000
17:45:31.687,2340,8001,53,100,4,42.19,P0,0x0000000000000000
17:45:32.802,2340,8001,52,93,2,32.49,P0,0x0000000000000000
17:45:33.914,2340,8001,53,100,4,42.13,P0,0x0000000000000000
17:45:35.028,2340,8001,52,94,2,32.10,P0,0x0000000000000000
17:45:36.135,2340,8001,52,97,2,32.23,P0,0x0000000000000000
17:45:37.245,2340,8001,51,94,2,32.36,P0,0x0000000000000000
17:45:38.353,2340,8001,53,100,4,41.94,P0,0x0000000000000000
17:45:39.471,2340,8001,52,96,2,31.90,P0,0x0000000000000000
17:45:40.598,2340,8001,53,100,4,41.27,P0,0x0000000000000000
17:45:41.796,2340,8001,53,100,4,41.60,P0,0x0000000000000000
17:45:43.079,2340,8001,52,91,2,36.82,P0,0x0000000000000000
17:45:44.192,2340,8001,52,92,2,39.39,P0,0x0000000000000000
17:45:45.320,2340,8001,54,100,1,45.77,P0,0x0000000000000000
17:45:46.452,2340,8001,55,100,1,46.61,P0,0x0000000000000000
17:45:47.561,2340,8001,54,100,2,43.33,P0,0x0000000000000000
17:45:48.667,2340,8001,53,100,1,45.18,P0,0x0000000000000000
17:45:49.779,2340,8001,53,100,2,42.74,P0,0x0000000000000000
17:45:50.893,2340,8001,54,100,2,44.23,P0,0x0000000000000000
17:45:52.001,2340,8001,53,100,2,43.22,P0,0x0000000000000000
17:45:53.098,2340,8001,54,100,2,45.12,P0,0x0000000000000000
17:45:54.204,2340,8001,54,100,2,45.33,P0,0x0000000000000000
17:45:55.323,2340,8001,53,100,1,44.71,P0,0x0000000000000000
17:45:56.445,2340,8001,54,100,1,52.29,P0,0x0000000000000000
17:45:57.577,2340,8001,56,100,1,48.06,P0,0x0000000000000000
17:45:58.702,2340,8001,55,100,2,52.40,P0,0x0000000000000000
17:45:59.823,2340,8001,55,100,2,51.97,P0,0x0000000000000000
